year,article_id,figure_name,figure_caption,figure_img
2010,5491191,Fig. 18.,"Verification of the theoretical BER expression for the SVM detector, AWGN channel.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-18-source-large.gif
2010,5491191,Fig. 19.,"Verification of the theoretical BER expression for the SVM detector, Rayleigh fading channel.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-19-source-large.gif
2010,5491191,Fig. 20.,"Near-far performance of the SVM detector, 20 users,
E
b
/
N
0
=15dB
, Rayleigh fading.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-20-source-large.gif
2010,5491191,Fig. 21.,"Tolerance of SVM detector,
E
b
/
N
o
=8dB
,
2β=100
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5536895/5491191/5491191-fig-21-source-large.gif
2010,5430874,Fig. 1.,"Artificial data. (a)–(c) Prototypes and receptive fields. (a) GMLVQ without regularization. (b) LGMLVQ without regularization. (c) LGMLVQ with
η=0.15
. (d) Training set transformed by global matrix
Ω
after GMLVQ training. (e) and (f) Training set transformed by local matrices
Ω
1
,
Ω
2
after LGMLVQ training. (g) and (h) Training set transformed by local matrices
Ω
1
,
Ω
2
obtained by LGMLVQ training with
η=0.005
. (i) and (j) Training set transformed by local matrices
Ω
1
,
Ω
2
obtained by LGMLVQ training with
η=0.15
. In (d)–(j) the dotted lines correspond to the eigendirections of
Λ
or
Λ
1
and
Λ
2
, respectively.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-1-source-large.gif
2010,5430874,Fig. 2.,"Artificial data. The plots relate to experiments on a single data set. (a)Evolution of error rate on validation set during LGMLVQ-training with
η=0
and
η=0.005
. (b) Coordinates of the class 2 prototype during LGMLVQ-training with
η=0
and
η=0.005
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-2-source-large.gif
2010,5430874,Fig. 3.,"Pima Indians Diabetes data set. Evolution of relevance values
λ
and eigenvalues
ν=eig(Λ)
observed during a single training run of (a) GRLVQ and (b) GMLVQ with
Ω∈
IR
8×8
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-3-source-large.gif
2010,5430874,Fig. 4.,"Pima Indians Diabetes data set. Mean error rates on training and validation sets after training different algorithms with different regularization parameters
η
. (a) GRLVQ. (b) GMLVQ with
Ω∈
IR
8×8
. (c) GMLVQ with
Ω∈
IR
2×8
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-4-source-large.gif
2010,5430874,Fig. 5.,"Pima Indians Diabetes data set. Dependency of the largest relevance value
λ
1
in GRLVQ and the largest eigenvalue
ν
1
in GMLVQ on the regularization parameter
η
. The plots are based on the mean relevance factors and mean eigenvalues obtained with the different training sets at the end of training. (a)Comparison between GRLVQ and GMLVQ with
Ω∈
IR
8×8
. (b) GMLVQ with
Ω∈
IR
2×8
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-5-source-large.gif
2010,5430874,Fig. 6.,"Pima Indians Diabetes data set. Two-dimensional representation of the complete data set found by GMLVQ with
Ω∈
IR
2×8
and (a)
η=0
and (b)
η=2.0
obtained in one training run. The dotted lines correspond to the eigendirections of
Ω
Ω
T
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-6-source-large.gif
2010,5430874,Fig. 7.,"Glass Identification data set. Mean error rates on training and validation sets after training different algorithms with different regularization parameters
η
. Training of relevance matrices in GMLVQ and local GMLVQ is based on
Ω,
Ω
j
∈
IR
9×9
. (a) GRLVQ. (b) GMLVQ. (c) Local GMLVQ.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-7-source-large.gif
2010,5430874,Fig. 8.,"Letter Recognition data set. Mean error rates on training and validation sets after training different algorithms with different regularization parameters
η
. (a) GRLVQ. (b) GMLVQ with
Ω∈
IR
16×16
. (c) GMLVQ with
Ω∈
IR
16×16
and three prototypes per class.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-8-source-large.gif
2010,5430874,Fig. 9.,"Letter Recognition data set. Comparison of mean eigenvalue profiles of final matrix
Λ
obtained by GMLVQ training
(Ω∈
IR
16×16
)
with different numbers of prototypes and different regularization parameters. (a)
η=0
. (b)
η=0.01
. (c)
η=0.05
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5456124/5430874/5430874-fig-9-source-large.gif
2010,5398989,Fig. 1.,"Text classification: collection, preprocessing, learning, and evaluation.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-1-source-large.gif
2010,5398989,Fig. 2.,Text-classification tasks.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-2-source-large.gif
2010,5398989,Fig. 3.,SVM optimal separating hyperplane.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-3-source-large.gif
2010,5398989,Fig. 4.,RVM two-class classification example with four RVs.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-4-source-large.gif
2010,5398989,Fig. 5.,Example of a DAG representation of a text-classification dataflow.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-5-source-large.gif
2010,5398989,Fig. 6.,"Text-classification dataflow, represented using a DAG with arrows identifying task dependencies with underlying file exchange. When a new input document is presented to the system and there is no need to update the models, only the files and the subtasks with underlined bottom part are involved.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-6-source-large.gif
2010,5398989,Fig. 7.,Text-classification DAG for the SVM model with Reuters-21578.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-7-source-large.gif
2010,5398989,Fig. 8.,Text-classification DAG for the SVM model with the RCV1 dataset.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-8-source-large.gif
2010,5398989,Fig. 9.,Text-classification DAG for the RVM model with the Reuters-21578.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-9-source-large.gif
2010,5398989,Fig. 10.,Text-classification DAG for the ensemble SVM model with the Reuters-21578.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-10-source-large.gif
2010,5398989,Fig. 11.,Final DAG processing times. (a) Baseline algorithms. (b) Ensembles.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/5326/5446559/5398989/5398989-fig-11-source-large.gif
2010,5570879,Fig. 1.,(a) Tract variables (TVs) from different constriction locations. (b) Pellet placement locations according to [115].,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-1-source-large.gif
2010,5570879,Fig. 2.,Gestural activations for the utterance “miss you.” Active gesture regions are marked by rectangular solid (colored) blocks. Smooth curves represent the corresponding tract variable (TV) trajectories.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-2-source-large.gif
2010,5570879,Fig. 3.,"Example of “perfect memory” adapted from [43], showing the acoustic signal and the recorded articulatory data. (a) Shows the case where “perfect” and “memory” are uttered as two different words (note, the /t/ burst is clearly visible. (b) Shows the utterance of “perfect memory” in a fluent sentence where the /t/ burst is reduced in the acoustic waveform.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-3-source-large.gif
2010,5570879,Fig. 4.,Flow diagram for generating synthetic speech and the associated articulatory information using TADA and HLSyn.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-4-source-large.gif
2010,5570879,Fig. 5.,Architecture of the ANN-based direct inverse model.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-5-source-large.gif
2010,5570879,Fig. 6.,Architecture of the AR-ANN-based direct inverse model.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-6-source-large.gif
2010,5570879,Fig. 7.,Distal supervised learning approach for obtaining acoustic to TV mapping.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-7-source-large.gif
2010,5570879,Fig. 8.,MDN architecture.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-8-source-large.gif
2010,5570879,Fig. 9.,"Hierarchical
ε
-SVR architecture for generating the TVs.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-9-source-large.gif
2010,5570879,Fig. 10.,PPMC for TV estimation from different architectures using MFCC.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-10-source-large.gif
2010,5570879,Fig. 11.,PPMC for TV estimation from different architectures using AP.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-11-source-large.gif
2010,5570879,Fig. 12.,Normalized RMSE for TV estimation from different architectures using MFCC.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-12-source-large.gif
2010,5570879,Fig. 13.,Normalized RMSE for TV estimation from different architectures using AP.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-13-source-large.gif
2010,5570879,Fig. 14.,Actual and estimated TVs from ANN and ANN+Kalman using MFCC as the acoustic feature.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4200690/5623290/5570879/5570879-fig-14-source-large.gif
2010,5357420,Fig. 1.,"Robustness and adaptiveness comparison for neighbors selected by
ℓ
1
-graph and
k
-nearest-neighbor graph. (a) Illustration of basis samples (first row), reconstruction coefficient distribution in
ℓ
1
-graph (left), samples to reconstruct (middle, with added noises from the third row on), and similarity distribution of the
k
nearest neighbors selected with Euclidean distance (right) in
k
-nn graph. Here, the horizontal axes indicate the index number of the training samples. The vertical axes of the left column indicate the reconstruction coefficient distribution for all training samples in sparse coding, and those of right column indicate the similarity value distribution of
k
nearest neighbors. Note that the number in parenthesis is the number of neighbors changed compared with results in the second row, and
ℓ
1
-graph shows much more robust to image noises. (b) Neighboring samples comparison between
ℓ
1
-graph and
k
-nearest-neighbor graph. The red bars indicate the numbers of the neighbors selected by
ℓ
1
-graph automatically and adaptively. The green bars indicate the numbers of kindred samples among the
k
neighbors selected by
ℓ
1
-graph, and the blue bar indicate the numbers of kindred samples within the
k
nearest neighbors measured by Euclidean distance in
k
-nn graph. Note that the results are obtained on USPS digit database [11] and the horizontal axis indicates the index of the reference sample to reconstruct. (a) Neighbor robustness comparison of
ℓ
1
-graph and
k
-nn graph. (b) Datum-adaptive neighbor numbers selected by sparse
ℓ
1
-graph, and kindred neighbor numbers for
ℓ
1
-graph and
k
-nn graph.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/83/5431097/5357420/5357420-fig-1-source-large.gif
2010,5357420,Fig. 2.,"Visualization comparison of (a) the
ℓ
1
-graph and (b) the
k
-nearest-neighbor graph, where the
k
for each datum is automatically selected in the
ℓ
1
-graph. Note that the thickness of the edge line indicates the value of the edge weight (Gaussian kernel weight for
k
-nearest-neighbor graph). For ease of display, we only show the graph edges related to the samples from two classes and in total 30 classes from the YALE-B database are used for graph construction. (c) Illustration on the positions of a reference sample (red), its kindred neighbors (yellow), and its inhomogeneous neighbors (blue) selected by (i)
ℓ
1
-graph and (ii)
k
-nearest-neighbor method based on samples from the USPS digit database [11]. (a) Example of
ℓ
1
-graph. (b) Example
k
-nearest-neighbor graph. (c) Example
ℓ
1
-graph and fc-NN graph.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/83/5431097/5357420/5357420-fig-2-source-large.gif
2010,5357420,Fig. 3.,"Visualization of the data clustering results from (a)
ℓ
1
-graph, (b) LE-graph, and (c) PCA algorithm for three clusters (handwritten digits 1, 2, and 3 in the USPS database). The coordinates of the points in (a) and (b) are obtained from the eigenvalue decomposition in the third step of Section III-A. Different colors of the points indicate different digits. (a) Clustering from
ℓ
1
-graph. (b) Clustering from LE-graph. (c) Clustering via PCA + K-means.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/83/5431097/5357420/5357420-fig-3-source-large.gif
2010,5357420,Fig. 4.,"Comparison clustering accuracies of the
ℓ
1
-graph (red line, one fixed value) and (
k
-nn + LLE)-graphs (blue curve) with variant
k
s on the USPS dataset and
K=7
. It shows that
ℓ
1
-norm is superior over
ℓ
2
-norm in deducing informative graph weights.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/83/5431097/5357420/5357420-fig-4-source-large.gif
2010,5357420,Fig. 5.,"Visualization comparison of the subspace learning results. They are the first ten basis vectors of (a) PCA, (b) NPE, (c) LPP, and (d)
ℓ
1
-graph calculated from the face images in YALE-B database.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/83/5431097/5357420/5357420-fig-5-source-large.gif
2010,4815257,Fig. 1.,"Scatterplots of the accuracies of MRM and NCM for
k=1,2,5,7,11,21
.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/34/5420323/4815257/4815257-fig-1-source-large.gif
2010,5508359,Fig. 1.,"Illustration of the object model. (a) Five patches of an object, where Sigma set
S
(n)
of the
n
th patch is represented as a vector
v
(n)
; (b) an arbitrator (denoted as “A”) makes the decision based on the responses of the five ILKMs corresponding to the five patches; and (c) Model update of a “sparse” ILKM with length
T
. A new observation at time
T+1
is used for update whereas the last observed one at time 1 is removed. See text for more details.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/97/5504518/5508359/5508359-fig-1-source-large.gif
2010,5508359,Fig. 2.,"Curves of relative position error (RPE) versus frame on four sequences. The red solid, blue circle, and green plus curves are for our method, COVT, and MILT respectively.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/97/5504518/5508359/5508359-fig-2-source-large.gif
2010,5508359,Fig. 3.,"Results on four sequences. Rows from top to bottom are for: girl, player, driving, and crossing. Red/blue/green rectangles are for our method, COVT, and MILT respectively. (Greyscale: Light/medium/dark gray rectangles are for MILT, our method, and COVT respectively.)",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/97/5504518/5508359/5508359-fig-3-source-large.gif
2010,5512961,Fig. 1.,GA technique with LS-SVM algorithm.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-1-source-large.gif
2010,5512961,Fig. 2.,SuperPol measuring cell.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-2-source-large.gif
2010,5512961,Fig. 3.,View of the meshed measurement cell.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-3-source-large.gif
2010,5512961,Fig. 4.,Microwave properties parameter extracting procedure.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-4-source-large.gif
2010,5512961,Fig. 5.,"Error and CPU time on the test set versus the number of training set data (evaluation of
ε
′
).",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-5-source-large.gif
2010,5512961,Fig. 6.,"Error and CPU time on the test set versus the number of training set data (evaluation of
ε
′′
).",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-6-source-large.gif
2010,5512961,Fig. 7.,Permittivity evolution of the ethanol obtained by LS-SVM and iterative inversion method.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/20/5512832/5512961/5512961-fig-7-source-large.gif
2010,5451128,Fig. 1.,Test NMSE comparisons of selection- and ensemble-based boosting on the OUTAOUAIS data set as a function of running time in seconds.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-1-source-large.gif
2010,5451128,Fig. 2.,Test NMSE comparisons of selection- and ensemble-based boosting on the KIN40K data set as a function of running time in seconds.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-2-source-large.gif
2010,5451128,Fig. 3.,Test NMSE comparisons of selection- and ensemble-based boosting on the SARCOS data set as a function of running time in seconds.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-3-source-large.gif
2010,5451128,Fig. 4.,Comparisons of test NMSE and CPU time as the function of the number of basis vectors used for different learning algorithms on the OUTAOUAIS data set.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-4-source-large.gif
2010,5451128,Fig. 5.,"Comparisons of the computational efficiency of the ensemble-based boosting by varying the values of
T
(and
S
) with the same
M=500
on the OUTAOUAIS data set.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-5-source-large.gif
2010,5451128,Fig. 6.,Test error rate on the COVTYPE data set as a function of running time in seconds.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/72/5475433/5451128/5451128-fig-6-source-large.gif
2010,5473105,Fig. 1.,Implementation flow.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-1-source-large.gif
2010,5473105,Fig. 2.,"Sample power, performance, and area models of a 65-nm router.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-2-source-large.gif
2010,5473105,Fig. 3.,Total router power versus buffer size.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-3-source-large.gif
2010,5473105,Fig. 4.,Total router power versus number of ports.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-4-source-large.gif
2010,5473105,Fig. 5.,Router total power versus buffer length.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-5-source-large.gif
2010,5473105,Fig. 6.,Router total power versus number of ports.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-6-source-large.gif
2010,5473105,Fig. 7.,Maximum implemented clock frequency versus given clock frequency.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-7-source-large.gif
2010,5473105,Fig. 8.,Router leakage power versus clock frequency.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-8-source-large.gif
2010,5473105,Fig. 9.,Router energy-per-bit versus choice of microarchitectural parameters.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4563995/5577467/5473105/5473105-fig-9-source-large.gif
2010,5204203,Fig. 1.,Conceptual model of the equilibrium point control hypothesis.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-1-source-large.gif
2010,5204203,Fig. 2.,"Graphical representation of the end-effector's stiffness in Cartesian space. The lengths
λ
1
and
λ
2
of the principal axes and the relative angle
θ
represent the magnitude and the orientation of the end-effector's stiffness, respectively.",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-2-source-large.gif
2010,5204203,Fig. 3.,"Planar robotic manipulator (
L
1
and
L
2
: lengths of the links;
M
1
and
M
2
: masses of the links; and
I
1
and
I
2
: inertias of the links).",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-3-source-large.gif
2010,5204203,Fig. 4.,"Change of stiffness ellipse for one time step. (a) The magnitude (area of the ellipse). (b) The shape (length ratio of the major and minor axes). (c) The orientation (direction of the major axis). (Solid line: stiffness ellipse at time
t
; dashed line: stiffness ellipse at time
t+1
.)",https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-4-source-large.gif
2010,5204203,Fig. 5.,Door-opening task. The end-effector is connected with the doorknob by a revolute joint hinge. The door hinge has rotational spring and damper.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-5-source-large.gif
2010,5204203,Fig. 6.,Virtual trajectories for door opening (dotted line: actual trajectory of doorknob).,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-6-source-large.gif
2010,5204203,Fig. 7.,Stiffness ellipse trajectories. (a) Understeering. (b) Exact Steering. (c) Oversteering.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-7-source-large.gif
2010,5204203,Fig. 8.,Learning effects of performance indexes. (a) Position error. (b) Lateral force. (Gray bar: before learning; black bar: after learning.),https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-8-source-large.gif
2010,5204203,Fig. 9.,Stiffness ellipse trajectories. (Dotted line: virtual trajectory; solid line: actual trajectory.) (a) Before learning. (b) After learning (reward1). (c) After learning (reward2).,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-9-source-large.gif
2010,5204203,Fig. 10.,Learning effects of performance indexes (average of ten learning trials). (a) Position error. (b) Torque rate.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-10-source-large.gif
2010,5204203,Fig. 11.,Catching a flying ball.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-11-source-large.gif
2010,5204203,Fig. 12.,Stiffness ellipse trajectory during the ball-catching task.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-12-source-large.gif
2010,5204203,Fig. 13.,Learning effect of the impulse (time integral of the contact force).,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/3477/5431005/5204203/5204203-fig-13-source-large.gif
2010,5378519,Fig. 1.,ROC curves for the eclectic rules and the SVM.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4233/5505920/5378519/5378519-fig-1-source-large.gif
2010,5378519,Fig. 2.,ROC curves for SQRex-SVM rules and the SVM.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4233/5505920/5378519/5378519-fig-2-source-large.gif
2010,5378519,Fig. 3.,ROC curve for waist circumference as predictor for hyperglycemia.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4233/5505920/5378519/5378519-fig-3-source-large.gif
2010,5378519,Fig. 4.,ROC curve for waist circumference as predictor for hypertension.,https://ieeexplore.ieee.org/mediastore_new/IEEE/content/media/4233/5505920/5378519/5378519-fig-4-source-large.gif
